"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.299278888E1,6.507014622E1,2.542258914E1,2.215628778E1,1.299999952E0,2.870000076E1,3.790092468E0,2.500000000E0
6.399300263E1,6.507015767E1,2.542260765E1,2.239603129E1,1.360000014E0,2.860000038E1,3.790092468E0,2.500000000E0
6.499270628E1,6.507016798E1,2.542262376E1,2.243234480E1,1.230000019E0,3.220000076E1,3.790092468E0,2.500000000E0
6.599334409E1,6.507017618E1,2.542264512E1,2.230020281E1,1.279999971E0,3.229999924E1,3.790092468E0,2.500000000E0
6.699287419E1,6.507018456E1,2.542266698E1,2.180416919E1,1.330000043E0,3.659999847E1,3.790092468E0,2.500000000E0
6.799340357E1,6.507019336E1,2.542269248E1,2.210757431E1,1.399999976E0,3.679999924E1,3.790092468E0,2.500000000E0
6.899247539E1,6.507020197E1,2.542271552E1,2.171951194E1,1.309999943E0,4.270000076E1,3.790092468E0,2.500000000E0
6.999251190E1,6.507021080E1,2.542273870E1,2.184506032E1,1.360000014E0,4.220000076E1,3.790092468E0,2.500000000E0
7.099306466E1,6.507022046E1,2.542276391E1,2.171206368E1,1.389999986E0,4.600000000E1,3.790092468E0,2.500000000E0
7.199243528E1,6.507022743E1,2.542278872E1,2.189138502E1,1.309999943E0,5.700000000E1,3.790092468E0,2.500000000E0
7.299318732E1,6.507023288E1,2.542282028E1,2.231478739E1,1.389999986E0,6.480000305E1,3.790092468E0,2.500000000E0
7.399267169E1,6.507023268E1,2.542285340E1,2.188711810E1,1.340000033E0,7.359999847E1,3.790092468E0,2.500000000E0
7.499328138E1,6.507023242E1,2.542288812E1,2.209110187E1,1.350000024E0,7.540000153E1,3.790092468E0,2.500000000E0
7.599268237E1,6.507023178E1,2.542292161E1,2.234196064E1,1.289999962E0,7.340000153E1,3.790092468E0,2.500000000E0
7.699272523E1,6.507023089E1,2.542295712E1,2.246427972E1,1.350000024E0,7.680000305E1,3.790092468E0,2.500000000E0
7.799266002E1,6.507022941E1,2.542299244E1,2.235149161E1,1.379999995E0,7.919999695E1,3.790092468E0,2.500000000E0
7.899316705E1,6.507022763E1,2.542302810E1,2.196874516E1,1.379999995E0,7.909999847E1,3.790092468E0,2.500000000E0
7.999255799E1,6.507022734E1,2.542306214E1,2.236047300E1,1.419999957E0,7.730000305E1,3.790092468E0,2.500000000E0
