"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.459103130E-1,-3.971862793E-1,-9.318645597E-1,-9.033184052E-1
6.507028660E-1,-4.347680807E-1,-1.028965116E0,-9.819145203E-1
6.554953660E-1,-4.069880247E-1,-1.081274748E0,-1.078430176E0
6.602878660E-1,-3.949707747E-1,-1.134246588E0,-1.114309311E0
6.650803660E-1,-2.640219927E-1,-1.133571267E0,-8.452596664E-1
6.698728660E-1,-4.496693611E-2,-1.189367414E0,-4.350767136E-1
6.746653660E-1,2.041610479E-1,-1.222867489E0,-2.863702774E-1
6.794578660E-1,4.273253679E-1,-1.217461109E0,-4.970178604E-1
6.842503660E-1,4.841111898E-1,-1.178121090E0,-8.860797882E-1
6.890428660E-1,4.437277913E-1,-1.119338155E0,-1.235877991E0
6.938353660E-1,3.412949443E-1,-1.074475527E0,-1.565562248E0
6.986278660E-1,1.924062967E-1,-1.029037833E0,-1.822897911E0
7.034203660E-1,-6.847369671E-2,-1.011095881E0,-2.053528786E0
7.082128660E-1,-2.427963018E-1,-1.033959627E0,-2.143591404E0
7.130053660E-1,-2.624657154E-1,-1.112911224E0,-2.056176186E0
7.177979180E-1,-1.676385403E-1,-1.165333986E0,-1.814204693E0
7.225904180E-1,-6.544542313E-2,-1.149382353E0,-1.464356422E0
7.273829180E-1,2.080094814E-2,-1.013664722E0,-9.413366318E-1
7.321754180E-1,-5.558490753E-3,-7.570590973E-1,-3.918781281E-1
7.369679180E-1,6.235659122E-2,-5.004255772E-1,2.891445160E-2
7.417604180E-1,1.439098120E-1,-2.369035482E-1,3.052701950E-1
7.465529180E-1,2.883966565E-1,1.092112064E-2,4.812860489E-1
7.513454180E-1,3.023983836E-1,8.465480804E-2,5.485782623E-1
7.561379180E-1,2.746094465E-1,-1.580369473E-2,4.369468689E-1
7.609304180E-1,1.649384499E-1,-2.093023062E-1,5.753993988E-2
7.657229180E-1,6.812572479E-3,-4.055234194E-1,-4.187593460E-1
7.705154180E-1,-1.135475636E-1,-4.743605852E-1,-6.699914932E-1
7.753079180E-1,-1.880571842E-1,-4.032145739E-1,-5.974168777E-1
7.801004180E-1,-1.770503521E-1,-1.915748119E-1,-2.196254730E-1
7.848929180E-1,-7.153832912E-2,3.763198853E-2,4.302530289E-1
7.896854180E-1,7.348513603E-2,1.339126825E-1,1.038438797E0
7.944779180E-1,2.913435698E-1,-2.799081802E-2,1.395414352E0
7.992704700E-1,1.695787907E-1,-4.719543457E-2,1.212666512E0
8.040629700E-1,8.185160160E-2,2.942311764E-2,1.085912704E0
8.088554700E-1,-2.082931995E-2,1.413155794E-1,1.352125168E0
8.136479700E-1,-1.288135052E-1,1.637169123E-1,1.456756592E0
8.184404700E-1,-2.968131304E-1,3.168071508E-1,1.365270615E0
8.232329700E-1,-3.636257648E-1,4.754726887E-1,1.478433609E0
8.280254700E-1,-4.042110443E-1,5.564802885E-1,1.568911552E0
8.328179700E-1,-4.464005232E-1,5.350258350E-1,1.505938530E0
8.376104700E-1,-3.931592703E-1,4.200577736E-1,1.335689545E0
8.424029700E-1,-3.540754318E-1,2.324564457E-1,9.590606689E-1
8.471954700E-1,-2.315591574E-1,-4.044675827E-2,5.486907959E-1
8.519879700E-1,-1.035618782E-1,-1.570783854E-1,3.380126953E-1
8.567804700E-1,-1.251515150E-1,-5.645680428E-2,4.496765137E-1
8.615729700E-1,2.602335215E-1,-1.517083645E-1,7.318754196E-1
8.663654700E-1,2.063056231E-1,2.000627518E-1,1.015085220E0
8.711579700E-1,5.565829277E-1,4.345791340E-1,9.972686768E-1
8.759504700E-1,8.412492275E-1,3.343403339E-1,9.343061447E-1
8.807430220E-1,9.192230105E-1,3.589649200E-1,6.118364334E-1
8.855355220E-1,9.855134487E-1,2.685577869E-1,3.306427002E-1
8.903280220E-1,1.015578032E0,2.122268677E-1,7.826137543E-2
8.951205220E-1,9.205698967E-1,3.037593365E-1,-2.689208984E-1
8.999130220E-1,9.384458661E-1,3.414378166E-1,-3.337621689E-1
9.047055220E-1,1.062664032E0,3.694081306E-1,-1.814298630E-1
9.094980220E-1,1.074292064E0,3.463819027E-1,-1.027488708E-2
9.142905220E-1,9.397799969E-1,2.911248207E-1,-8.191299438E-2
9.190830220E-1,4.567528963E-1,1.824312210E-1,-3.020982742E-1
9.238755220E-1,2.317762375E-2,8.733654022E-2,-5.748109818E-1
9.286680220E-1,-1.155728102E-1,-1.783227921E-2,-7.403306961E-1
9.334605220E-1,-4.522235394E-1,-4.448175430E-3,-9.302797318E-1
9.382530220E-1,-5.492330790E-1,-1.253752708E-1,-8.304719925E-1
9.430455220E-1,-5.872422457E-1,-2.463843822E-1,-9.568271637E-1
9.478380220E-1,-6.432509422E-1,-3.217449188E-1,-1.156064987E0
9.526305220E-1,-6.659270525E-1,-2.012722492E-1,-1.185195923E0
9.574230740E-1,-5.863230228E-1,-8.318161964E-2,-7.715406418E-1
9.622155740E-1,-4.543980956E-1,4.937005043E-2,-3.365488052E-1
9.670080740E-1,-3.068870306E-1,5.364799500E-2,-1.923885345E-1
9.718005740E-1,1.791197062E-1,-5.544610023E-1,-4.047594070E-1
9.765930740E-1,3.276609778E-1,-7.548108101E-1,-4.481391907E-1
9.813855740E-1,1.950947642E-1,-5.756537914E-1,-3.041410446E-1
9.861780740E-1,5.630630255E-2,-3.451058865E-1,-3.307819366E-2
9.909705740E-1,9.618222713E-3,-1.258685589E-1,2.171487808E-1
9.957630740E-1,-8.923536539E-2,3.816032410E-2,2.828807831E-1
1.000555574E0,-2.055401802E-1,1.585764885E-1,2.201070786E-1
1.005348074E0,-2.864958346E-1,2.216207981E-1,1.127729416E-1
